Date / Time,Seconds taken,Kbps,Download size (bytes)
2016-03-18 19:22:16.104000,1.234,19386.0,3062059
2016-03-18 19:27:17.147000,1.25,19138.0,3062059
2016-03-18 19:32:18.158000,1.25,19138.0,3062059
2016-03-18 19:37:19.164000,1.297,18444.0,3062059
2016-03-18 19:42:21.334000,1.265,18911.0,3062059
2016-03-18 19:47:21.190000,1.227,19497.0,3062059
2016-03-18 19:52:22.189000,1.234,19386.0,3062059
2016-03-18 19:57:23.210000,1.232,19417.0,3062059
2016-03-18 20:02:24.207000,1.297,18444.0,3062059
2016-03-18 20:07:27.261000,1.578,15160.0,3062059
2016-03-18 20:12:28.727000,1.574,15198.0,3062059
2016-03-18 20:17:40.614000,2.283,10478.0,3062059
2016-03-18 20:23:18.316000,4.564,5242.0,3062059
2016-03-18 20:27:31.432000,1.41,16966.0,3062059
2016-03-18 20:32:33.282000,1.427,16764.0,3062059
2016-03-18 20:37:37.182000,2.0,11961.0,3062059
2016-03-18 20:42:41.694000,1.647,14525.0,3062059
2016-03-18 20:47:34.902000,1.374,17411.0,3062059
2016-03-18 20:52:36.711000,1.568,15257.0,3062059
2016-03-18 20:57:37.243000,1.49,16055.0,3062059
2016-03-18 21:02:41.801000,2.002,11949.0,3062059
2016-03-18 21:07:41.991000,1.598,14970.0,3062059
2016-03-18 21:12:39.880000,1.631,14667.0,3062059
2016-03-18 21:17:44.176000,1.53,15636.0,3062059
2016-03-18 21:22:40.798000,1.236,19355.0,3062059
2016-03-18 21:27:44.008000,1.502,15927.0,3062059
2016-03-18 21:32:42.424000,1.25,19138.0,3062059
2016-03-18 21:37:45.043000,1.364,17538.0,3062059
2016-03-18 21:42:46.102000,1.403,17051.0,3062059
2016-03-18 21:47:46.739000,1.403,17051.0,3062059
2016-03-18 21:52:48.218000,1.333,17946.0,3062059
2016-03-18 21:57:49.235000,1.363,17551.0,3062059
2016-03-18 22:02:49.924000,1.452,16475.0,3062059
2016-03-18 22:07:50.683000,1.365,17526.0,3062059
2016-03-18 22:12:52.193000,1.396,17136.0,3062059
2016-03-18 22:17:52.926000,1.359,17603.0,3062059
2016-03-18 22:22:53.913000,1.548,15454.0,3062059
2016-03-18 22:27:55.198000,1.373,17423.0,3062059
2016-03-18 22:32:54.455000,1.234,19386.0,3062059
2016-03-18 22:37:55.486000,1.234,19386.0,3062059
2016-03-18 22:42:56.654000,1.266,18896.0,3062059
2016-03-18 22:47:57.687000,1.316,18178.0,3062059
2016-03-18 22:52:58.688000,1.475,16219.0,3062059
2016-03-18 22:57:59.722000,1.274,18777.0,3062059
2016-03-18 23:03:00.739000,1.24,19292.0,3062059
2016-03-18 23:08:01.843000,1.537,15564.0,3062059
2016-03-18 23:13:02.660000,1.247,19184.0,3062059
2016-03-18 23:18:05.799000,1.295,18473.0,3062059
2016-03-18 23:23:04.668000,1.26,18986.0,3062059
2016-03-18 23:28:05.760000,1.283,18646.0,3062059
2016-03-18 23:33:06.752000,1.269,18851.0,3062059
2016-03-18 23:38:07.797000,1.241,19277.0,3062059
2016-03-18 23:43:08.786000,1.92,12460.0,3062059
2016-03-18 23:48:09.756000,1.244,19230.0,3062059
2016-03-18 23:53:10.804000,1.252,19107.0,3062059
2016-03-18 23:58:11.766000,1.242,19261.0,3062059
2016-03-19 00:03:12.525000,1.219,19625.0,3062059
2016-03-19 00:08:13.505000,1.25,19138.0,3062059
2016-03-19 00:13:14.510000,1.229,19465.0,3062059
2016-03-19 00:18:15.525000,1.25,19138.0,3062059
2016-03-19 00:23:16.514000,1.234,19386.0,3062059
2016-03-19 00:28:17.541000,1.469,16285.0,3062059
2016-03-19 00:33:18.555000,1.21,19771.0,3062059
2016-03-19 00:38:19.557000,1.235,19370.0,3062059
2016-03-19 00:43:20.551000,1.235,19370.0,3062059
2016-03-19 00:48:21.580000,1.219,19625.0,3062059
2016-03-19 00:53:22.581000,1.235,19370.0,3062059
2016-03-19 00:58:23.552000,1.266,18896.0,3062059
2016-03-19 01:03:24.568000,1.25,19138.0,3062059
2016-03-19 01:08:25.602000,1.266,18896.0,3062059
2016-03-19 01:13:26.583000,1.234,19386.0,3062059
2016-03-19 01:18:27.596000,1.25,19138.0,3062059
2016-03-19 01:23:29.664000,1.25,19138.0,3062059
2016-03-19 01:28:29.639000,1.234,19386.0,3062059
2016-03-19 01:33:30.635000,1.219,19625.0,3062059
2016-03-19 01:38:31.627000,1.235,19370.0,3062059
2016-03-19 01:43:32.628000,1.219,19625.0,3062059
2016-03-19 01:48:33.654000,1.343,17813.0,3062059
2016-03-19 01:53:34.672000,1.234,19386.0,3062059
